,apartment_location,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown
0,40.438929;-79.893329,4970.0,1234.0,354.0,10829.0,2563.0,354.0
1,40.440600;-79.995900,5270.0,1149.0,239.0,911.0,479.0,119.0
2,40.400300;-79.933800,19773.0,7826.0,4050.0,14369.0,4934.0,4047.0
3,40.440970;-79.893694,4923.0,1319.0,511.0,10783.0,2648.0,511.0
4,40.440791;-79.893715,4847.0,1263.0,435.0,10707.0,2592.0,435.0
5,40.438619;-79.886892,5785.0,1580.0,337.0,12806.0,1903.0,281.0
6,40.438521;-79.886892,5796.0,1587.0,348.0,12795.0,1894.0,270.0
7,40.425911;-79.880326,8108.0,2167.0,1241.0,15609.0,2562.0,1017.0
8,40.429265;-79.915237,4048.0,1421.0,838.0,9907.0,2750.0,838.0
9,40.428786;-79.914551,4079.0,1486.0,869.0,9938.0,2815.0,869.0
10,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
11,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
12,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
13,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
14,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
15,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
16,40.443648;-79.891977,5350.0,1402.0,350.0,12681.0,1815.0,650.0
17,40.437495;-79.952523,2144.0,801.0,668.0,4868.0,1634.0,788.0
18,40.314142;-80.031799,20198.0,3851.0,337.0,15266.0,2714.0,337.0
19,40.331169;-79.939372,26955.0,5320.0,628.0,21606.0,3999.0,628.0
20,40.331169;-79.939372,26955.0,5320.0,628.0,21606.0,3999.0,628.0
21,40.442473;-79.893501,5054.0,1218.0,182.0,10913.0,2547.0,182.0
22,40.491659;-80.051923,14942.0,3449.0,317.0,9286.0,2030.0,317.0
23,40.465870;-80.033019,11540.0,2688.0,63.0,5884.0,1269.0,63.0
24,40.392600;-79.905200,9591.0,3644.0,1118.0,15145.0,2972.0,1118.0
25,40.172332;-80.247188,61845.0,5697.0,209.0,55733.0,3959.0,209.0
26,40.475200;-79.952800,6095.0,2114.0,696.0,6451.0,2383.0,719.0
27,40.443599;-79.892578,5283.0,1349.0,283.0,12792.0,1898.0,761.0
28,40.443599;-79.892578,5283.0,1349.0,283.0,12792.0,1898.0,761.0
29,40.472275;-79.959794,8791.0,2576.0,531.0,5540.0,1910.0,126.0
30,40.368800;-80.022400,14701.0,3329.0,724.0,9769.0,2192.0,724.0
31,40.425400;-79.979900,5229.0,1582.0,125.0,3868.0,1161.0,125.0
32,40.443746;-79.891999,5305.0,1367.0,305.0,12750.0,1860.0,719.0
33,40.430800;-79.920500,3279.0,1053.0,362.0,9138.0,2382.0,362.0
34,40.443305;-79.891613,5418.0,1406.0,285.0,12704.0,1836.0,673.0
35,40.443305;-79.891613,5418.0,1406.0,285.0,12704.0,1836.0,673.0
36,40.545367;-80.190681,28340.0,4286.0,265.0,22489.0,2595.0,265.0
37,40.307598;-79.548459,60740.0,6259.0,699.0,55137.0,4632.0,699.0
38,40.439598;-79.887815,5500.0,1439.0,208.0,13147.0,2162.0,622.0
39,40.439566;-79.887793,5500.0,1439.0,208.0,13147.0,2162.0,622.0
40,40.363400;-79.866400,17500.0,3676.0,709.0,21537.0,4204.0,709.0
41,40.442603;-79.892793,5171.0,1269.0,171.0,11030.0,2598.0,171.0
42,40.442718;-79.888651,5575.0,1475.0,283.0,12552.0,1712.0,521.0
43,40.430028;-79.892621,5606.0,1275.0,68.0,11465.0,2604.0,68.0
44,40.456768;-80.061377,12957.0,2404.0,1003.0,6218.0,1448.0,1003.0
45,40.400100;-80.046200,12457.0,2678.0,183.0,6808.0,1034.0,183.0
46,40.443028;-79.890497,5417.0,1410.0,284.0,12611.0,1770.0,580.0
47,40.760900;-80.109400,43020.0,4295.0,603.0,38699.0,2996.0,603.0
48,40.428247;-79.924518,3422.0,983.0,21.0,9281.0,2312.0,21.0
49,40.434769;-79.961674,2402.0,675.0,333.0,4141.0,1294.0,445.0
50,40.417515;-79.984202,7153.0,2028.0,320.0,5792.0,1607.0,320.0
51,40.417518;-79.984177,7155.0,2030.0,322.0,5794.0,1609.0,322.0
52,40.438521;-79.892943,5000.0,1257.0,384.0,10859.0,2586.0,384.0
53,40.588505;-80.215351,34424.0,7469.0,1359.0,28768.0,5750.0,1359.0
54,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
55,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
56,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
57,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
58,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
59,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
60,40.443338;-79.890175,5434.0,1422.0,301.0,12628.0,1782.0,597.0
61,40.451911;-79.959526,4758.0,1536.0,117.0,5041.0,1602.0,885.0
62,40.400100;-80.046200,12457.0,2678.0,183.0,6808.0,1034.0,183.0
63,40.400100;-80.016100,11602.0,3062.0,282.0,6253.0,1801.0,282.0
64,40.426800;-80.004200,8493.0,2929.0,1508.0,3144.0,1668.0,1508.0
65,40.439517;-79.887836,5500.0,1439.0,208.0,13147.0,2162.0,622.0
66,40.439255;-79.887686,5630.0,1548.0,338.0,12928.0,2009.0,403.0
67,40.443273;-79.891355,5397.0,1392.0,264.0,12637.0,1786.0,606.0
68,40.347200;-80.115300,25331.0,5679.0,1349.0,19570.0,4112.0,1349.0
69,40.443812;-79.892471,5301.0,1365.0,301.0,12753.0,1863.0,722.0
70,40.443844;-79.892535,5303.0,1366.0,303.0,12751.0,1861.0,720.0
71,40.411069;-79.864871,11263.0,2333.0,280.0,17122.0,3662.0,280.0
72,40.438981;-80.005215,6098.0,1591.0,600.0,449.0,347.0,449.0
73,40.578700;-79.768500,41700.0,8027.0,2768.0,35639.0,6448.0,2768.0
74,38.328920;-75.090351,842688.0,64786.0,317.0,837825.0,63233.0,317.0
75,40.442587;-79.892771,5169.0,1268.0,169.0,11028.0,2597.0,169.0
76,40.442750;-79.888608,5573.0,1474.0,281.0,12550.0,1711.0,519.0
77,40.458826;-79.922415,4814.0,1204.0,158.0,8240.0,1222.0,158.0
78,40.432094;-79.928144,2599.0,1019.0,717.0,8459.0,2348.0,717.0
79,40.455160;-79.937993,2487.0,1096.0,299.0,7219.0,1618.0,233.0
80,40.438815;-79.886978,5754.0,1561.0,306.0,12840.0,1932.0,315.0
81,40.428754;-79.924078,3316.0,950.0,106.0,9175.0,2279.0,106.0
82,40.428035;-79.924722,3517.0,986.0,116.0,9376.0,2315.0,116.0
83,40.444000;-79.955200,1284.0,398.0,234.0,4856.0,1224.0,74.0
84,40.380094;-80.008364,14860.0,4045.0,1610.0,9511.0,2664.0,1610.0
85,40.438485;-79.890722,5451.0,1442.0,318.0,13152.0,2181.0,627.0
86,40.428705;-79.924132,3323.0,955.0,113.0,9182.0,2284.0,113.0
87,40.439092;-79.891548,5307.0,1381.0,307.0,11166.0,2710.0,307.0
88,40.473542;-79.928756,5097.0,1991.0,791.0,8866.0,1961.0,169.0
89,40.447700;-79.993300,7078.0,1890.0,271.0,1542.0,832.0,570.0
90,40.315776;-79.831445,24722.0,4764.0,27.0,26764.0,5892.0,27.0
91,40.445484;-80.026217,10466.0,2570.0,855.0,3961.0,1403.0,857.0
92,40.369600;-80.043900,16739.0,4158.0,1657.0,11090.0,2514.0,1657.0
93,40.438749;-79.889853,5493.0,1487.0,360.0,13117.0,2155.0,592.0
94,40.440987;-79.890304,5201.0,1268.0,68.0,11061.0,2597.0,68.0
95,40.451927;-79.928488,1938.0,953.0,194.0,7439.0,2048.0,194.0
96,40.448629;-79.902985,4307.0,1014.0,211.0,11037.0,1911.0,733.0
97,40.438047;-79.890604,5481.0,1465.0,348.0,13158.0,2185.0,633.0
98,40.453683;-79.935204,1856.0,1086.0,576.0,7744.0,1426.0,524.0
99,40.453715;-79.935257,1854.0,1085.0,574.0,7745.0,1428.0,525.0
100,40.442300;-79.983000,4770.0,1271.0,702.0,2164.0,690.0,51.0
101,40.335100;-79.983200,22358.0,5338.0,568.0,16344.0,3837.0,568.0
102,40.442300;-79.983000,4770.0,1271.0,702.0,2164.0,690.0,51.0
103,40.438129;-79.890754,5469.0,1455.0,336.0,13167.0,2192.0,642.0
104,40.442995;-79.887772,5826.0,1519.0,176.0,12415.0,1607.0,384.0
105,40.438276;-79.891763,5132.0,1360.0,443.0,10991.0,2689.0,443.0
106,40.438127;-79.891950,5141.0,1372.0,452.0,13263.0,2253.0,738.0
107,40.443191;-79.889832,5467.0,1443.0,334.0,12661.0,1803.0,630.0
108,40.140400;-79.920000,48662.0,8012.0,2731.0,43634.0,6935.0,2731.0
109,40.438929;-79.893329,4970.0,1234.0,354.0,10829.0,2563.0,354.0
110,40.440600;-79.995900,5270.0,1149.0,239.0,911.0,479.0,119.0
111,40.400300;-79.933800,19773.0,7826.0,4050.0,14369.0,4934.0,4047.0
112,40.440970;-79.893694,4923.0,1319.0,511.0,10783.0,2648.0,511.0
113,40.440791;-79.893715,4847.0,1263.0,435.0,10707.0,2592.0,435.0
114,40.438619;-79.886892,5785.0,1580.0,337.0,12806.0,1903.0,281.0
115,40.438521;-79.886892,5796.0,1587.0,348.0,12795.0,1894.0,270.0
116,40.425911;-79.880326,8108.0,2167.0,1241.0,15609.0,2562.0,1017.0
117,40.429265;-79.915237,4048.0,1421.0,838.0,9907.0,2750.0,838.0
118,40.428786;-79.914551,4079.0,1486.0,869.0,9938.0,2815.0,869.0
119,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
120,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
121,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
122,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
123,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
124,40.671800;-80.291700,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0
125,40.443648;-79.891977,5350.0,1402.0,350.0,12681.0,1815.0,650.0
126,40.437495;-79.952523,2144.0,801.0,668.0,4868.0,1634.0,788.0
127,40.314142;-80.031799,20198.0,3851.0,337.0,15266.0,2714.0,337.0
128,40.331169;-79.939372,26955.0,5320.0,628.0,21606.0,3999.0,628.0
129,40.331169;-79.939372,26955.0,5320.0,628.0,21606.0,3999.0,628.0
130,40.442473;-79.893501,5054.0,1218.0,182.0,10913.0,2547.0,182.0
131,40.491659;-80.051923,14942.0,3449.0,317.0,9286.0,2030.0,317.0
132,40.465870;-80.033019,11540.0,2688.0,63.0,5884.0,1269.0,63.0
133,40.392600;-79.905200,9591.0,3644.0,1118.0,15145.0,2972.0,1118.0
134,40.172332;-80.247188,61845.0,5697.0,209.0,55733.0,3959.0,209.0
135,40.475200;-79.952800,6095.0,2114.0,696.0,6451.0,2383.0,719.0
136,40.443599;-79.892578,5283.0,1349.0,283.0,12792.0,1898.0,761.0
137,40.443599;-79.892578,5283.0,1349.0,283.0,12792.0,1898.0,761.0
138,40.472275;-79.959794,8791.0,2576.0,531.0,5540.0,1910.0,126.0
139,40.368800;-80.022400,14701.0,3329.0,724.0,9769.0,2192.0,724.0
140,40.425400;-79.979900,5229.0,1582.0,125.0,3868.0,1161.0,125.0
141,40.443746;-79.891999,5305.0,1367.0,305.0,12750.0,1860.0,719.0
142,40.430800;-79.920500,3279.0,1053.0,362.0,9138.0,2382.0,362.0
143,40.443305;-79.891613,5418.0,1406.0,285.0,12704.0,1836.0,673.0
144,40.443305;-79.891613,5418.0,1406.0,285.0,12704.0,1836.0,673.0
145,40.545367;-80.190681,28340.0,4286.0,265.0,22489.0,2595.0,265.0
146,40.307598;-79.548459,60740.0,6259.0,699.0,55137.0,4632.0,699.0
147,40.439598;-79.887815,5500.0,1439.0,208.0,13147.0,2162.0,622.0
148,40.439566;-79.887793,5500.0,1439.0,208.0,13147.0,2162.0,622.0
149,40.363400;-79.866400,17500.0,3676.0,709.0,21537.0,4204.0,709.0
150,40.442603;-79.892793,5171.0,1269.0,171.0,11030.0,2598.0,171.0
151,40.442718;-79.888651,5575.0,1475.0,283.0,12552.0,1712.0,521.0
152,40.430028;-79.892621,5606.0,1275.0,68.0,11465.0,2604.0,68.0
153,40.456768;-80.061377,12957.0,2404.0,1003.0,6218.0,1448.0,1003.0
154,40.400100;-80.046200,12457.0,2678.0,183.0,6808.0,1034.0,183.0
155,40.443028;-79.890497,5417.0,1410.0,284.0,12611.0,1770.0,580.0
156,40.760900;-80.109400,43020.0,4295.0,603.0,38699.0,2996.0,603.0
157,40.428247;-79.924518,3422.0,983.0,21.0,9281.0,2312.0,21.0
158,40.434769;-79.961674,2402.0,675.0,333.0,4141.0,1294.0,445.0
159,40.417515;-79.984202,7153.0,2028.0,320.0,5792.0,1607.0,320.0
160,40.417518;-79.984177,7155.0,2030.0,322.0,5794.0,1609.0,322.0
161,40.438521;-79.892943,5000.0,1257.0,384.0,10859.0,2586.0,384.0
162,40.588505;-80.215351,34424.0,7469.0,1359.0,28768.0,5750.0,1359.0
163,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
164,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
165,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
166,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
167,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
168,40.429500;-80.014400,12018.0,3146.0,279.0,6669.0,1765.0,279.0
169,40.443338;-79.890175,5434.0,1422.0,301.0,12628.0,1782.0,597.0
170,40.451911;-79.959526,4758.0,1536.0,117.0,5041.0,1602.0,885.0
171,40.400100;-80.046200,12457.0,2678.0,183.0,6808.0,1034.0,183.0
172,40.400100;-80.016100,11602.0,3062.0,282.0,6253.0,1801.0,282.0
173,40.426800;-80.004200,8493.0,2929.0,1508.0,3144.0,1668.0,1508.0
174,40.439517;-79.887836,5500.0,1439.0,208.0,13147.0,2162.0,622.0
175,40.439255;-79.887686,5630.0,1548.0,338.0,12928.0,2009.0,403.0
176,40.443273;-79.891355,5397.0,1392.0,264.0,12637.0,1786.0,606.0
177,40.347200;-80.115300,25331.0,5679.0,1349.0,19570.0,4112.0,1349.0
178,40.443812;-79.892471,5301.0,1365.0,301.0,12753.0,1863.0,722.0
179,40.443844;-79.892535,5303.0,1366.0,303.0,12751.0,1861.0,720.0
180,40.411069;-79.864871,11263.0,2333.0,280.0,17122.0,3662.0,280.0
181,40.438981;-80.005215,6098.0,1591.0,600.0,449.0,347.0,449.0
182,40.578700;-79.768500,41700.0,8027.0,2768.0,35639.0,6448.0,2768.0
183,38.328920;-75.090351,842688.0,64786.0,317.0,837825.0,63233.0,317.0
184,40.442587;-79.892771,5169.0,1268.0,169.0,11028.0,2597.0,169.0
185,40.442750;-79.888608,5573.0,1474.0,281.0,12550.0,1711.0,519.0
186,40.458826;-79.922415,4814.0,1204.0,158.0,8240.0,1222.0,158.0
187,40.432094;-79.928144,2599.0,1019.0,717.0,8459.0,2348.0,717.0
188,40.455160;-79.937993,2487.0,1096.0,299.0,7219.0,1618.0,233.0
189,40.438815;-79.886978,5754.0,1561.0,306.0,12840.0,1932.0,315.0
190,40.428754;-79.924078,3316.0,950.0,106.0,9175.0,2279.0,106.0
191,40.428035;-79.924722,3517.0,986.0,116.0,9376.0,2315.0,116.0
192,40.444000;-79.955200,1284.0,398.0,234.0,4856.0,1224.0,74.0
193,40.380094;-80.008364,14860.0,4045.0,1610.0,9511.0,2664.0,1610.0
194,40.438485;-79.890722,5451.0,1442.0,318.0,13152.0,2181.0,627.0
195,40.428705;-79.924132,3323.0,955.0,113.0,9182.0,2284.0,113.0
196,40.439092;-79.891548,5307.0,1381.0,307.0,11166.0,2710.0,307.0
197,40.473542;-79.928756,5097.0,1991.0,791.0,8866.0,1961.0,169.0
198,40.447700;-79.993300,7078.0,1890.0,271.0,1542.0,832.0,570.0
199,40.315776;-79.831445,24722.0,4764.0,27.0,26764.0,5892.0,27.0
200,40.445484;-80.026217,10466.0,2570.0,855.0,3961.0,1403.0,857.0
201,40.369600;-80.043900,16739.0,4158.0,1657.0,11090.0,2514.0,1657.0
202,40.438749;-79.889853,5493.0,1487.0,360.0,13117.0,2155.0,592.0
203,40.440987;-79.890304,5201.0,1268.0,68.0,11061.0,2597.0,68.0
204,40.451927;-79.928488,1938.0,953.0,194.0,7439.0,2048.0,194.0
205,40.448629;-79.902985,4307.0,1014.0,211.0,11037.0,1911.0,733.0
206,40.438047;-79.890604,5481.0,1465.0,348.0,13158.0,2185.0,633.0
207,40.453683;-79.935204,1856.0,1086.0,576.0,7744.0,1426.0,524.0
208,40.453715;-79.935257,1854.0,1085.0,574.0,7745.0,1428.0,525.0
209,40.442300;-79.983000,4770.0,1271.0,702.0,2164.0,690.0,51.0
210,40.335100;-79.983200,22358.0,5338.0,568.0,16344.0,3837.0,568.0
211,40.442300;-79.983000,4770.0,1271.0,702.0,2164.0,690.0,51.0
212,40.438129;-79.890754,5469.0,1455.0,336.0,13167.0,2192.0,642.0
213,40.442995;-79.887772,5826.0,1519.0,176.0,12415.0,1607.0,384.0
214,40.438276;-79.891763,5132.0,1360.0,443.0,10991.0,2689.0,443.0
215,40.438127;-79.891950,5141.0,1372.0,452.0,13263.0,2253.0,738.0
216,40.443191;-79.889832,5467.0,1443.0,334.0,12661.0,1803.0,630.0
217,40.140400;-79.920000,48662.0,8012.0,2731.0,43634.0,6935.0,2731.0
