,index,neighborhood,post title,number bedrooms,sqft,price,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown,nearest_shuttle_stop,nearest_restaurants,restaurant_distance,total_rating
0,2, (Pittsburgh),3 BR- 3374 Parkview Ave,3,1540.0,1100,1284.0,398.0,234.0,4856.0,1044.0,74.0,"('Bigelow Blvd. at Forbess Avenue', 'BS', 5.610394320176541)","[('Bridges Restaurant', 2.6198702729160006, 2.5), ('Sichuan Gourmet', 3.4044725358869727, 4.0), ('Las Palmas', 3.4481396820662114, 4.5), ('Bangal Kabab House and Restaurant', 3.494970975862204, 4.0), ('Pgh Crepes', 3.5247001955981627, 3.5)]",3.29843073246591,9.7
1,1, (Oakland),Four bedroom Apartment Available August 1st!,4,500.0,2300,2158.0,814.0,682.0,5127.0,1499.0,803.0,"('Bigelow Blvd. at Forbess Avenue', 'BS', 4.600258010356194)","[('Mad Mex - Oakland', 0.7528992644081397, 3.5), ('The Original Gyro', 0.764208643064943, 4.0), ('Ocha Thai Noodle', 0.9057609479029439, 4.0), ('Panther House Bar & Grill', 1.106318838364735, 3.0), ('Korea Garden', 1.522416833941906, 3.5)]",1.0103209055365336,9.3
2,44, (5703 Hobart Street(SQUIRREL HILL) Just off Murray),"AUGUST,Convenient to CMU, RECENT Renovation, AC, Granite Kitchen",1,650.0,1189,2976.0,766.0,328.0,8836.0,1855.0,328.0,"('Beacon Street at Murray Avenue', 'BS', 7.268801027538952)","[('Chef Rabbi', 6.334365927736299, 5.0), ('New Dumpling And Sushi House', 6.490700775323696, 3.5), ('Tan Lac Vien', 6.935999708565228, 4.0), (""Aiello's Pizza"", 6.974196187536605, 4.0), ('Frankie Bunz', 7.122043833458553, 4.0)]",3.2309098133085676,9.3
3,31, (Oakland),One Bedroom Available 08/01,1,415.0,845,2144.0,801.0,668.0,5112.0,1486.0,788.0,"('Bigelow Blvd. at Forbess Avenue', 'BS', 6.108254357609334)","[(""Frenchi's Deli & Market"", 0.46517357440177537, 4.5), ('Beta Bites', 3.2853440241851652, 4.0), ('Mesa', 3.684096857238361, 4.0), ('Asia Tea House', 3.6966896546603243, 3.0), ('The Porch at Schenley', 4.305648126444156, 3.5)]",3.0873904473859564,9.3
4,21, (Squirrel Hill / Murry Ave @ Forward Ave),★Available NOW--AC--Hardwood Floors--Closet Space--Heat Incld!★,1,770.0,1295,3463.0,780.0,62.0,9322.0,1869.0,62.0,"('Beacon Street at Murray Avenue', 'BS', 5.554485992900438)","[('New Dumpling And Sushi House', 4.0942166093239045, 3.5), ('Tan Lac Vien', 4.70237149522346, 4.0), (""Mineo's Pizza House"", 4.703279667816005, 3.5), (""Aiello's Pizza"", 4.757894345253043, 4.0), ('Milky Way', 4.898024149208487, 3.5)]",4.63115725336498,9.2
5,45, (732 & 734 S. Millvale Avenue @ Baum Blvd (NORTH OAKLAND)),"AUGUST,Less than 1 mile Pitt/CMU,Hardwood Lam,New Kitchen",3,990.0,1699,1482.0,1182.0,1482.0,5751.0,1313.0,228.0,"('Centre Avenue at Devonshire Street', 'AB', 4.32477170683447)","[('Emiliano’s Mexican Restaurant & Bar', 1.7308457340587342, 3.5), (""Khalil's II"", 2.990185309375872, 4.5), ('Pad Thai Noodle', 3.7764407063430867, 4.5), (""Angelo's Pizzeria"", 3.8198189829652875, 4.0), (""Lombardozzi's Restaurant"", 3.8372583337998587, 3.0)]",7.054366972171996,9.2
6,10, (Shadyside / S. Aiken Ave @ Centre Ave),★Available NOW--All Utilities Included!--AC--HW Floors--Pet Friendly★,1,720.0,1260,2167.0,1268.0,82.0,6409.0,1370.0,82.0,"('Centre Avenue at South Aiken Avenue', 'A', 1.9587869685156705)","[('Selamis Turkish Kebab House', 6.502237966253279, 4.5), ('BFG Café', 6.573698375170169, 4.0), ('Nak Won Garden', 6.9130314873021295, 3.5), ('Spork Pit', 8.74134868934774, 3.5), ('Friendship Perk and Brew', 10.817942004828751, 4.5)]",7.909651704580414,9.1
7,11, (Shadyside / S. Aiken Ave @ Centre Ave),★ALL Utils Incld--Available August 1--Near Shopping--AC--Pet Friendly★,1,720.0,1260,2138.0,1248.0,53.0,6380.0,1350.0,53.0,"('Centre Avenue at South Aiken Avenue', 'A', 1.615780750350426)","[('BFG Café', 6.512806724434608, 4.0), ('Selamis Turkish Kebab House', 6.8038383388575845, 4.5), ('Nak Won Garden', 7.222341848128505, 3.5), ('Spork Pit', 8.84202000744268, 3.5), ('Friendship Perk and Brew', 10.445009040061697, 4.5)]",7.965203191785015,9.1
8,9, (Shadyside / S. Aiken Ave @ Centre Ave),★Available August 1--Shopping Nearby--AC--ALL Utils Incld!--HW Floors★,1,720.0,1260,2167.0,1268.0,82.0,6409.0,1370.0,82.0,"('Centre Avenue at South Aiken Avenue', 'A', 2.0014903583595665)","[('Selamis Turkish Kebab House', 6.461099233245853, 4.5), ('BFG Café', 6.565817619433308, 4.0), ('Nak Won Garden', 6.871491472877028, 3.5), ('Spork Pit', 8.716189138753085, 3.5), ('Friendship Perk and Brew', 10.858833969229886, 4.5)]",7.894686286707833,9.1
9,8, (Shadyside / S. Aiken Ave @ Centre Ave),★ALL Utilities Included!--Pet Friendly--AC--HW Floors--Avail August 1★,1,720.0,1365,2153.0,1259.0,68.0,6395.0,1361.0,68.0,"('Centre Avenue at South Aiken Avenue', 'A', 1.9096247210038386)","[('BFG Café', 6.491929438448566, 4.0), ('Selamis Turkish Kebab House', 6.526938181953765, 4.5), ('Nak Won Garden', 6.9415192106375265, 3.5), ('Spork Pit', 8.69654762951238, 3.5), ('Friendship Perk and Brew', 10.742741093232745, 4.5)]",7.879935110756998,9.1
10,7, (Shadyside / S. Aiken Ave @ Centre Ave),★Available NOW--Near Shopping--AC--Heat Included!--Pet Friendly★,1,720.0,1260,2133.0,1245.0,48.0,6375.0,1347.0,48.0,"('Centre Avenue at South Aiken Avenue', 'A', 1.3649535440663205)","[('BFG Café', 6.5930111999511025, 4.0), ('Selamis Turkish Kebab House', 7.05098198094685, 4.5), ('Nak Won Garden', 7.47077536280214, 3.5), ('Spork Pit', 9.012160500770188, 3.5), ('Friendship Perk and Brew', 10.209883593949398, 4.5)]",8.067362527683937,9.1
11,6, (Shadyside / S. Aiken Ave @ Centre Ave),★Available NOW--ALL Utilities Included!--Shopping Nearby--AC★,1,720.0,1365,2154.0,1259.0,69.0,6396.0,1361.0,69.0,"('Centre Avenue at South Aiken Avenue', 'A', 1.9484581839961082)","[('BFG Café', 6.484824845797273, 4.0), ('Selamis Turkish Kebab House', 6.489441096168825, 4.5), ('Nak Won Garden', 6.903671440462212, 3.5), ('Spork Pit', 8.673677473187471, 3.5), ('Friendship Perk and Brew', 10.780187674217162, 4.5)]",7.866360505966588,9.1
12,5, (Shadyside / S. Aiken Ave @ Centre Ave),★Available June 1--Pet Friendly--AC--ALL Utilities Included!★,1,720.0,1260,2167.0,1268.0,82.0,6409.0,1370.0,82.0,"('Centre Avenue at South Aiken Avenue', 'A', 1.8778340784304624)","[('Selamis Turkish Kebab House', 6.581425924564085, 4.5), ('BFG Café', 6.593483402702531, 4.0), ('Nak Won Garden', 6.992814935949764, 3.5), ('Spork Pit', 8.792800137744374, 3.5), ('Friendship Perk and Brew', 10.741642693123836, 4.5)]",7.940433418816918,9.1
13,4, (Shadyside / S. Aiken Ave @ Centre Ave),★Available May 1--Near Campus--AC--ALL Utilities Included!★,1,720.0,1260,2151.0,1257.0,66.0,6393.0,1359.0,66.0,"('Centre Avenue at South Aiken Avenue', 'A', 1.7441278513504588)","[('BFG Café', 6.541088706240581, 4.0), ('Selamis Turkish Kebab House', 6.690457440980295, 4.5), ('Nak Won Garden', 7.105895691488726, 3.5), ('Spork Pit', 8.808274436986828, 3.5), ('Friendship Perk and Brew', 10.588769042746728, 4.5)]",7.946897063688631,9.1
14,12, (Shadyside / Shady Ave @ Ellsworth Ave),★Available NOW--Near Shopping--AC--Heat Included!--Pet Friendly★,1,485.0,860,3515.0,1202.0,123.0,8624.0,1690.0,222.0,"('Shady Avenue at Alder Street', 'AB', 1.4428422188924381)","[('Choolaah', 4.290619474516975, 4.5), ('Two Sisters', 6.683789943699345, 4.5), ('Mola', 7.240367190654404, 4.0), ('Paris 66', 7.32993782996782, 3.5), (""Kelly's Bar & Lounge"", 8.160298585471317, 3.5)]",6.741002604861973,9.0
15,26, (Regent  Square - Frick Park),"Two-Floor Split-Level, Pet Friendly, Great Neighborhood, Aug 1st",1,876.0,1009,4888.0,935.0,199.0,10747.0,2024.0,199.0,"('Bakery Square (Google)', 'BS', 84.60682902683355)","[('El Burro', 4.578339729456399, 3.5), ('Istanbul Grille', 4.604620829793983, 4.5), ('Square Cafe', 4.639187114409183, 4.0), ('Thai Cottage', 4.679601982076698, 4.0), (""D's Six Pax & Dogz"", 4.8743184672560735, 4.0)]",4.6752136245984675,9.0
16,37, (Regent Square - Frick Park),"Nice One Bedroom, Pet Friendly, Wood Floors, Park Community, Aug 1",1,580.0,915,5184.0,978.0,184.0,11043.0,2067.0,184.0,"('Bakery Square (Google)', 'BS', 86.02184396017951)","[('Square Cafe', 7.325626617062808, 4.0), ('El Burro', 7.525664500350148, 3.5), ('Istanbul Grille', 7.594713959691456, 4.5), ('Thai Cottage', 7.653037054189898, 4.0), (""D's Six Pax & Dogz"", 7.802590631543334, 4.0)]",3.2870171682600997,8.9
17,32, (Regent Square - East Busway - Frick Park),"Superb Apartment Walk to Regent Square Shops, Free Parking, Aug 1",1,630.0,744,5479.0,1063.0,187.0,13126.0,1846.0,601.0,"('Bakery Square (Google)', 'BS', 101.73023600186153)","[(""Applebee's Grill + Bar"", 8.996767373528302, 3.0), (""Nancy's Revival"", 9.856172955505503, 4.5), ('Soul Food Connection', 12.419677019787743, 4.5), ('GoodFellas Restaurant & Tavern', 12.739688675817249, 4.5), ('The Dream BBQ', 12.912928793530954, 4.5)]",11.38504696363395,8.9
18,33, (Regent Square - Near Frick Park & Shops),"Tree Lined Street, Bright and Comfortable One Bedroom, Aug 1st",1,631.0,762,5522.0,1100.0,230.0,13075.0,1812.0,550.0,"('Bakery Square (Google)', 'BS', 101.57765652162509)","[(""Applebee's Grill + Bar"", 8.888145562013545, 3.0), (""Nancy's Revival"", 10.03476754890099, 4.5), ('Soul Food Connection', 12.597627450562483, 4.5), ('GoodFellas Restaurant & Tavern', 12.721486955573658, 4.5), ('The Dream BBQ', 12.864226012740403, 4.5)]",11.421250705958217,8.9
19,23, (Regent Square - Frick Park),"Classic Apartment, Parking, Pet Friendly, Big Rooms",1,905.0,850,5746.0,1191.0,298.0,13114.0,1791.0,589.0,"('Bakery Square (Google)', 'BS', 114.2923750281951)","[('Soul Food Connection', 2.074035453136871, 4.5), (""Nancy's Revival"", 3.3728531255408543, 4.5), ('Thai Terrace', 7.980399978477828, 4.5), ('Crabs R Us', 9.812382163515037, 3.5), ('Fireside Caribbean Restaurant', 12.43338325666478, 4.0)]",7.134610795467074,8.9
20,42, (Regent Square - Frick Park),"Stylish Townhouse, Yard, Wood Floor, Pet Friendly, Aug 1",2,936.0,994,5171.0,969.0,171.0,11030.0,2058.0,171.0,"('Bakery Square (Google)', 'BS', 86.10976748595704)","[('Square Cafe', 7.270370902211127, 4.0), ('El Burro', 7.490774109792377, 3.5), ('Istanbul Grille', 7.566520075397631, 4.5), ('Thai Cottage', 7.621780570276901, 4.0), (""D's Six Pax & Dogz"", 7.765160556531871, 4.0)]",5.497833504855602,8.9
21,41, (Regent Square - East Busway - Frick Park),"Complete Townhouse for Rent in Regent Square, Pet Friendly, Aug 1st",2,1207.0,939,5435.0,1062.0,302.0,11295.0,2151.0,302.0,"('Bakery Square (Google)', 'BS', 95.9452226069573)","[('The Dream BBQ', 7.540117698058717, 4.5), (""Applebee's Grill + Bar"", 12.399432176605202, 3.0), ('Square Cafe', 13.930211204432563, 4.0), ('Rudy Martino Original House of Submarines', 14.763255522117417, 4.5), ('El Burro', 15.037002725297526, 3.5)]",7.542921242841982,8.8
22,22, (Regent  Square - Frick Park),"All Utilities Included, Easy Access to Oakland & Downtown, Aug 1st",1,685.0,1015,5481.0,1093.0,348.0,11341.0,2182.0,348.0,"('Bakery Square (Google)', 'BS', 97.91408427516572)","[('The Dream BBQ', 8.758811621773118, 4.5), (""Applebee's Grill + Bar"", 11.659790873250774, 3.0), (""Nancy's Revival"", 13.343366619895127, 4.5), ('Rudy Martino Original House of Submarines', 14.818194107684459, 4.5), ('Square Cafe', 15.578423312200204, 4.0)]",12.831717306960735,8.8
23,15, (Regent Square - Frick Park),"One Bedroom, Nice Neighborhood, Near Parks & Shops, Aug 1",1,620.0,744,5401.0,1029.0,268.0,11261.0,2118.0,268.0,"('Bakery Square (Google)', 'BS', 96.90406992242559)","[('The Dream BBQ', 8.570046969685722, 4.5), (""Applebee's Grill + Bar"", 11.451159830279499, 3.0), ('Rudy Martino Original House of Submarines', 14.145211755832133, 4.5), ('Square Cafe', 14.374813149344604, 4.0), (""Nancy's Revival"", 14.393164501887645, 4.5)]",12.58687924140592,8.8
24,14, (Regent Square - Frick Park),"All Utilities Included, Dog Friendly, Yard, Classic Charm, Aug 1st",1,680.0,880,5316.0,1075.0,316.0,11175.0,2164.0,316.0,"('Bakery Square (Google)', 'BS', 87.32918054160476)","[('The Dream BBQ', 7.8134103237823425, 4.5), ('Square Cafe', 8.534103919578117, 4.0), ('El Burro', 8.909882710377119, 3.5), ('Istanbul Grille', 9.024573762680808, 4.5), ('Thai Cottage', 9.062342558416365, 4.0)]",8.668862654966949,8.8
25,13, (Regent Square - East Busway - Frick Park),"All Utilities Included, Pet Friendly, Classic One Bedroom, Aug 1st",1,695.0,923,5317.0,1076.0,317.0,11176.0,2165.0,317.0,"('Bakery Square (Google)', 'BS', 87.16445472052082)","[('The Dream BBQ', 7.908305842915608, 4.5), ('Square Cafe', 8.485781408456845, 4.0), ('El Burro', 8.836002616961721, 3.5), ('Istanbul Grille', 8.943116669753696, 4.5), ('Thai Cottage', 8.984424548935971, 4.0)]",8.631526217404767,8.8
26,43, (347 S. Fairmount St(Friendship/Shadyside)),"AUGUST, ALL UTILS INCLUDED,Top Converted Victorian House Charm!",1,590.0,1079,3550.0,1656.0,929.0,8282.0,1897.0,257.0,"('Centre Avenue at South Negley Avenue', 'A', 2.3559410171535635)","[('Spork', 3.64331801237468, 4.0), ('Szechuan Spice', 5.444013565721513, 4.0), ('I Tea Cafe', 5.896430978776132, 3.0), ('Girasole Restaurant', 6.220781546564971, 4.0), ('Fig & Waffle Cafe Bistro', 6.284623420840712, 3.5)]",6.771461286524077,8.7
27,0, (Southside slopes),825.00 -WOW 2 bedroom on the slopes,2,1000.0,825,4878.0,1883.0,525.0,3868.0,1041.0,125.0,"('PTC-Pittsburgh Technology Center', 'PTC', 60.813855206305945)","[(""Piper's Pub"", 2.6413557996540664, 4.5), ('Fat Heads Saloon', 2.7099684955841554, 4.0), ('The Pub Chip Shop', 2.844552739413841, 4.5), ('Carmi Soul Food', 2.8514045549632074, 4.0), ('Primanti Bros', 3.039505090818897, 3.5)]",2.8173573360868334,8.6
28,46, (5634 Stanton Avenue(East Liberty/Highland Park)),"AUGUST,Recent Renovation,AC, Dishwasher,Easy Access Oakland on Bus",2,855.0,1249,6129.0,1602.0,38.0,9455.0,2031.0,116.0,"('Centre Avenue at Annie Place', 'B', 8.689111479880298)","[(""Wallace's Whiskey Room + Kitchen"", 6.18566326078187, 3.0), ('honeygrow', 7.003481415807054, 4.0), ('Two Sisters', 7.284463786704802, 4.5), ('Pizza Taglio', 7.380183165348774, 4.5), ('Bird On The Run', 7.4180432322174825, 4.5)]",2.6336571596917926,8.6
29,3, (Highland Park),Accepting Apps for Summer Now! Modern 2BR w/Utilities Included,2,900.0,1325,5000.0,1542.0,536.0,9652.0,2030.0,19.0,"('Centre Avenue at Trade Street', 'AB', 10.513774321318515)","[('KaFair Cafe', 7.5615008123385685, 5.0), (""Wallace's Whiskey Room + Kitchen"", 8.455628513010629, 3.0), ('MR Bulgogi', 8.500314490359314, 4.5), ('honeygrow', 9.290891323919725, 4.0), ('Bird On The Run', 9.447994621036498, 4.5)]",8.651265952132947,8.6
30,20," (highland Park, 15206)",Stunning Two- Bedroom--Prime Location!!!,2,1050.0,1050,5096.0,1569.0,632.0,10597.0,2424.0,632.0,"('Bakery Square (Google)', 'BS', 13.226579172238615)","[('Caribbean Vybz', 8.303910389997696, 5.0), ('Mama Rose', 9.84581900670479, 4.5), ('Larder of East End', 10.271161615173982, 4.5), ('Point Brugge Café', 15.170235541730863, 4.5), (""Cc's Cafe"", 15.253125434500154, 3.5)]",11.768850397621497,8.5
31,19," (highland Park, 15206)",Stunning One- Bedroom--Prime Location!!!,1,900.0,1000,5096.0,1569.0,632.0,10597.0,2424.0,632.0,"('Bakery Square (Google)', 'BS', 13.226579172238615)","[('Caribbean Vybz', 8.303910389997696, 5.0), ('Mama Rose', 9.84581900670479, 4.5), ('Larder of East End', 10.271161615173982, 4.5), ('Point Brugge Café', 15.170235541730863, 4.5), (""Cc's Cafe"", 15.253125434500154, 3.5)]",11.768850397621497,8.5
32,24, (248 S. Atlantic (Friendship/Shadyside/Bloomfield)),"August,Split Level 4br/2bath, Wash/Dry, Updated!",4,2000.0,2560,4635.0,1944.0,665.0,6940.0,1367.0,206.0,"('Centre Avenue at South Aiken Avenue', 'A', 4.800672754960843)","[('BFG Café', 4.976799947955748, 4.0), ('Friendship Perk and Brew', 7.127725190443065, 4.5), ('Spork Pit', 8.892616135002244, 3.5), (""People's Indian Restaurant"", 9.341322903693774, 4.0), ('Selamis Turkish Kebab House', 10.064172223428159, 4.5)]",8.080527280104597,8.5
33,40, (15210),Discounted Fixer Upper (12 Mins from Downtown),3,2369.0,35750,8905.0,2392.0,837.0,7296.0,2091.0,837.0,"('PTC-Pittsburgh Technology Center', 'PTC', 78.59896743283566)","[('Maietta Restaurant', 13.15421263816498, 3.5), ('Union Pie Co', 14.731329891082156, 4.5), (""Big Shot Bob's House of Wings - South Side"", 15.307503190774394, 4.0), (""Sal's New York Pizzeria"", 15.343764048102958, 3.5), (""O'Leary's"", 15.370237475335568, 4.0)]",12.734003865302284,7.7
34,38," (Pittsburgh, PA)",The Foundry at 41st is bravely setting new standards for apartment,2,1233.0,1500,6636.0,2096.0,506.0,5456.0,1219.0,337.0,"('PTC-Pittsburgh Technology Center', 'PTC', 26.31024857691953)","[('Coca Cafe', 3.042068083772523, 3.0), ('Franktuary', 3.0727001064557697, 3.5), ('Umami', 3.408119089697741, 4.5), ('Piccolo Forno', 3.4428643338073144, 4.0), ('Pastitsio', 3.469334227567151, 4.0)]",131.40232027533648,7.3
35,29, (Pittsburgh),"Lincoln Place RENT-2-OWN! Minor Fixer, But LOW Down, EZ Qual",2,840.0,895,13541.0,3042.0,381.0,13427.0,1962.0,381.0,"('Beacon Street at Shady Avenue', 'BS', 51.95741831192926)","[('Porked', 5.3211728084325465, 5.0), (""Duke's Upper Deck Cafe"", 22.964906207266402, 4.0), ('Eighth & Hays', 23.031402458174732, 4.5), ('Hook Fish and Chicken', 24.07736573064472, 5.0), (""Honest John's Bar & Restaurant"", 24.227805322873674, 4.5)]",19.924530505478415,7.1
36,30, (Pittsburgh),Rent to Own on the Edge Of Brentwood. Minutes from the City!!,2,828.0,795,13472.0,3314.0,509.0,8123.0,1633.0,509.0,"('PTC-Pittsburgh Technology Center', 'PTC', 108.19412453970966)","[('Nepali Asian Restaurant', 15.192411793368306, 5.0), ('Union Pie Co', 15.73821570232849, 4.5), ('Vocelli Pizza', 18.05724610649928, 4.5), ('Maietta Restaurant', 26.283861943353735, 3.5), (""Leon's Caribbean Restaurant"", 26.845999575612613, 4.5)]",20.423547024232484,7.0
37,35, (Spring Hill City View / Northside),"Updated 3 Bed, 1 Bath - Close to Everything with Million Dollar Views",3,1100.0,1250,9641.0,2991.0,1010.0,3903.0,1873.0,1561.0,"('PTC-Pittsburgh Technology Center', 'PTC', 117.3126438150098)","[('Kaffeehaus', 5.70069877149408, 4.5), ('Penn Brewery', 10.525641653417614, 3.5), ('Eleven', 11.396063942560186, 4.0), ('Riviera Pizza & Pasta', 11.598200040426233, 3.5), ('CobblerWorld', 11.797337503958898, 5.0)]",131.40232027533648,6.4
38,36, (Pittsburgh),"✪Beautiful (2) bedroom, (1) bathroom condo home.COMPLETELY UPDATED✪",2,1350.0,650,14173.0,3606.0,832.0,19589.0,4073.0,832.0,"('Bakery Square (Google)', 'BS', 353.22261083656593)","[(""hanadi's"", 103.08950414239688, 5.0), ('Roman Bistro', 108.9273284881028, 3.5), ('Starlite Lounge', 145.41886133865574, 3.5), ('Maenam Thai Restaurant', 149.43206903233664, 5.0), ('Superior Motors', 150.1438383751904, 4.0)]",7.580326552567529,6.3
39,27, (Penn Hills),"RENT-2-OWN Home in Penn Hills! 3-4 BR, Minor Fixer Upper! EZ Qual!",3,1320.0,995,15880.0,3411.0,676.0,20122.0,3513.0,676.0,"('Bakery Square (Google)', 'BS', 209.65886270907365)","[('Starlite Lounge', 22.296011392717894, 3.5), ('Maenam Thai Restaurant', 22.38853224300081, 5.0), (""Nox's Tavern and Grille"", 23.097201532434983, 4.5), ('Steel Towne Inn', 37.08975207776498, 4.5), ('Superior Motors', 42.13291570286099, 4.0)]",29.400882589755934,6.3
40,39, (Pittsburgh),!!*-*-* THREE BEDROOM TWO BATH HOUSE*-*-*!!,2,990.0,740,14173.0,3606.0,832.0,19589.0,4073.0,832.0,"('Bakery Square (Google)', 'BS', 353.22261083656593)","[(""hanadi's"", 103.08950414239688, 5.0), ('Roman Bistro', 108.9273284881028, 3.5), ('Starlite Lounge', 145.41886133865574, 3.5), ('Maenam Thai Restaurant', 149.43206903233664, 5.0), ('Superior Motors', 150.1438383751904, 4.0)]",14.781409448692012,6.2
41,25, (Penn Hills),Verona 3 Bdr/1 Ba House RENT-2-OWN! EZ QUAL!!,3,1320.0,1095,14173.0,3606.0,832.0,19589.0,4073.0,832.0,"('Bakery Square (Google)', 'BS', 353.22261083656593)","[(""hanadi's"", 103.08950414239688, 5.0), ('Roman Bistro', 108.9273284881028, 3.5), ('Starlite Lounge', 145.41886133865574, 3.5), ('Maenam Thai Restaurant', 149.43206903233664, 5.0), ('Superior Motors', 150.1438383751904, 4.0)]",131.40232027533648,5.3
42,16, (Pittsburgh Area),Sell Your House Fast – No Commissions – Real Estate Alternative,3,1500.0,34900,41166.0,4855.0,747.0,8678.0,1872.0,1009.0,"('PTC-Pittsburgh Technology Center', 'PTC', 401.4941015138754)","[('Mia Madre Trattoria', 18.08404902275341, 4.0), ('Pittsburgh Sandwich Society', 26.890214864691004, 4.5), (""Sarafino's Pasta and Pizza"", 27.012503569634845, 4.0), ('Pierogies Plus', 27.594834988712854, 4.5), ('The Original BSB’s - Avalon', 28.27525176240033, 4.5)]",25.571370841638487,4.2
43,28, (McKees Rocks),McKees Rocks RENT-2-OWN! Own Ur Own Home! EZ Qual,2,924.0,695,38753.0,5041.0,1259.0,32014.0,4205.0,1259.0,"('PTC-Pittsburgh Technology Center', 'PTC', 482.6942389657156)","[('Fireside Inn', 22.45888309715909, 3.5), ('Sapporo Japanese Steakhouse', 25.198466374997903, 4.0), ('Tap Club', 38.626082369203836, 5.0), (""Sunny Jim's Tavern"", 39.554726943393334, 3.5), ('Cafe Delhi', 43.27479457838765, 4.0)]",33.82259067262836,3.6
44,17, (Robinson Township),"2 Bedroom, 2 Bath, Well Maintained Condo",2,1026.0,1200,31800.0,4552.0,1846.0,25061.0,3716.0,1846.0,"('PTC-Pittsburgh Technology Center', 'PTC', 682.8264622519827)","[('Primanti Bros', 151.71910990441773, 3.5), (""Sunny Jim's Tavern"", 183.7873721088377, 3.5), ('Wild Rosemary', 186.4855771740394, 4.0), ('Sapporo Japanese Steakhouse', 187.76579683031716, 4.0), ('Leogreta', 188.22769822419295, 4.0)]",179.597110848361,3.2
45,18, (FORWARD TOWNSHIP),2 BEDROOM HOUSE,2,1100.0,650,38140.0,6778.0,2394.0,33110.0,5941.0,2394.0,"('Beacon Street at Shady Avenue', 'BS', 157.5774293235209)","[('Porked', 113.5901990754442, 5.0), ('LongHorn Steakhouse', 136.72204660619144, 3.0), ('Eighth & Hays', 137.0834773191394, 4.5), (""Duke's Upper Deck Cafe"", 137.24245249312708, 4.0), ('BRAVO! Cucina Italiana', 138.00503719700808, 3.5)]",132.52864253818205,1.4
46,47, (325 Spahr St(Shadyside)),"AUGUST,4br/2Bath,Just off Walnut/Ellsworth, Rents Fast!",4,1600.0,2340,3016.0,1135.0,225.0,8643.0,1970.0,665.0,"('Fifth Avenue at Maryland Avenue', 'AB', 4.450561084225637)","[('Con Alma', 0.7453460976361992, 4.5), ('Cafe Zinho', 0.9964614351274531, 4.0), ('The Twisted Frenchman', 3.669037600323924, 4.5), ('Garbarinos', 3.676299995469455, 4.0), ('Senyai Thai Kitchen', 4.0811406699019335, 4.5)]",,
